Тип цифровых платежных систем,Частота использования,Цели использования,Средний размер транзакции,Привлекательность,Испытывали ли вы проблемы,Считаете ли вы цифровые платежные системы безопасными,Планируете ли вы использовать цифровые платежные системы чаще в будущем,Дополнительные функции,Наиболее важные критерии
Другие,Реже,Покупки онлайн,5000-15000 тенге,Безопасность,Да,Да,Нет,Другие,Доступность на всех устройствах
Apple Pay,Раз в неделю,Оплата счетов,Менее 1500 тенге,Удобство,Да,Не уверен,Нет,Интеграция с другими сервисами,Удобство
Другие,Несколько раз в неделю,Переводы между друзьями/родственниками,5000-15000 тенге,Другие,Да,Да,Нет,Интеграция с другими сервисами,Удобство
PayPal,Раз в неделю,Другие,5000-15000 тенге,Простота использования,Да,Нет,Нет,Интеграция с другими сервисами,Безопасность
PayPal,Несколько раз в неделю,Оплата счетов,Более 15000 тенге,Скорость,Да,Нет,Да,Интеграция с другими сервисами,Безопасность
Apple Pay,Раз в неделю,Оплата счетов,Более 15000 тенге,Скорость,Нет,Нет,Нет,Дополнительные скидки и предложения,Безопасность
Электронные кошельки,Раз в неделю,Другие,Более 15000 тенге,Безопасность,Нет,Да,Нет,Интеграция с другими сервисами,Скорость
Электронные кошельки,Ежедневно,Покупки онлайн,Более 15000 тенге,Скорость,Да,Не уверен,Нет,Другие,Удобство
Google Pay,Ежедневно,Покупки онлайн,Менее 1500 тенге,Удобство,Да,Не уверен,Да,Улучшенная безопасность,Удобство
Электронные кошельки,Реже,Оплата счетов,Более 15000 тенге,Скорость,Нет,Не уверен,Да,Интеграция с другими сервисами,Доступность на всех устройствах
PayPal,Несколько раз в неделю,Покупки онлайн,5000-15000 тенге,Безопасность,Нет,Не уверен,Да,Быстрая проверка баланса,Безопасность
PayPal,Раз в неделю,Переводы между друзьями/родственниками,Менее 1500 тенге,Простота использования,Да,Нет,Нет,Другие,Доступность на всех устройствах
PayPal,Ежедневно,Оплата счетов,5000-15000 тенге,Скорость,Нет,Нет,Нет,Улучшенная безопасность,Скорость
Google Pay,Реже,Оплата счетов,Более 15000 тенге,Скорость,Нет,Не уверен,Да,Другие,Доступность на всех устройствах
Apple Pay,Реже,Переводы между друзьями/родственниками,1500-5000 тенге,Безопасность,Нет,Да,Нет,Быстрая проверка баланса,Скорость
Электронные кошельки,Раз в неделю,Другие,Менее 1500 тенге,Удобство,Да,Нет,Нет,Интеграция с другими сервисами,Безопасность
PayPal,Раз в неделю,Другие,1500-5000 тенге,Удобство,Да,Да,Не уверен,Интеграция с другими сервисами,Скорость
Google Pay,Реже,Покупки онлайн,1500-5000 тенге,Другие,Да,Да,Нет,Дополнительные скидки и предложения,Безопасность
Другие,Несколько раз в неделю,Переводы между друзьями/родственниками,5000-15000 тенге,Другие,Да,Не уверен,Нет,Интеграция с другими сервисами,Удобство
Электронные кошельки,Несколько раз в неделю,Другие,1500-5000 тенге,Удобство,Нет,Нет,Нет,Улучшенная безопасность,Доступность на всех устройствах
PayPal,Раз в неделю,Переводы между друзьями/родственниками,1500-5000 тенге,Безопасность,Да,Да,Нет,Улучшенная безопасность,Скорость
PayPal,Реже,Другие,Менее 1500 тенге,Скорость,Нет,Да,Нет,Быстрая проверка баланса,Удобство
Google Pay,Реже,Другие,1500-5000 тенге,Другие,Нет,Нет,Нет,Дополнительные скидки и предложения,Доступность на всех устройствах
Google Pay,Раз в неделю,Покупки онлайн,Более 15000 тенге,Скорость,Нет,Нет,Не уверен,Быстрая проверка баланса,Безопасность
Другие,Раз в неделю,Покупки онлайн,5000-15000 тенге,Другие,Нет,Не уверен,Не уверен,Другие,Скорость
PayPal,Ежедневно,Другие,5000-15000 тенге,Простота использования,Нет,Нет,Да,Дополнительные скидки и предложения,Удобство
Apple Pay,Ежедневно,Оплата счетов,5000-15000 тенге,Безопасность,Да,Не уверен,Нет,Улучшенная безопасность,Доступность на всех устройствах
Другие,Реже,Переводы между друзьями/родственниками,1500-5000 тенге,Простота использования,Нет,Нет,Нет,Улучшенная безопасность,Удобство
Apple Pay,Несколько раз в неделю,Оплата счетов,Более 15000 тенге,Удобство,Да,Да,Не уверен,Другие,Безопасность
